date,fac_b,total_vehicles,cash,ezpass,violation,autos,small_t,large_t,buses,violationrate,avg_speed,delta,awnd,prcp,snow,snwd,tmax,tmin,severe_event_count,severe_flag,gas_price,ezpass_ratio,high_violation
1/12/2015,Holland,36673,6228,29633,812,34738,1359,22,554,0.02214163,null,null,5.82,0.33,0,0,40,33,0,0,null,0.808033158,0
1/12/2015,Lincoln,45284,5107,39050,1128,35417,2627,473,6767,0.02490946,null,null,5.82,0.33,0,0,40,33,0,0,null,0.862335483,0
1/12/2015,Outerbridge,32104,3071,27690,1343,29501,1083,1424,96,0.041832793,null,null,5.82,0.33,0,0,40,33,0,0,null,0.862509345,0
1/13/2015,Bayonne,8052,640,7223,189,7350,315,342,45,0.023472429,null,null,15.66,0,0,0,37,14,0,0,null,0.897044213,0
1/13/2015,GWB Lower,51319,6427,43195,1697,50948,114,14,243,0.033067675,null,null,15.66,0,0,0,37,14,0,0,null,0.841696058,0
1/13/2015,GWB PIP,19260,1525,17221,514,19186,12,1,61,0.026687435,null,null,15.66,0,0,0,37,14,0,0,null,0.894132918,0
1/13/2015,GWB Upper,55106,9302,44569,1235,42304,4325,7695,782,0.022411353,null,null,15.66,0,0,0,37,14,0,0,null,0.808786702,0
1/13/2015,Goethals,35086,4274,29854,958,30734,1722,2262,368,0.027304338,null,null,15.66,0,0,0,37,14,0,0,null,0.850880693,0
1/13/2015,Holland,39909,6251,32781,877,37829,1502,23,555,0.021974993,null,null,15.66,0,0,0,37,14,0,0,null,0.821393671,0
1/13/2015,Lincoln,49612,5331,43089,1192,39386,2866,559,6801,0.024026445,null,null,15.66,0,0,0,37,14,0,0,null,0.868519713,0
1/13/2015,Outerbridge,35342,3253,30775,1314,32453,1214,1570,105,0.03717956,null,null,15.66,0,0,0,37,14,0,0,null,0.870776979,0
1/14/2015,Bayonne,8186,641,7355,190,7443,349,341,53,0.023210359,null,null,11.63,0,0,0,32,14,0,0,null,0.898485219,0
1/14/2015,GWB Lower,50526,6413,42531,1582,50151,114,16,245,0.031310612,null,null,11.63,0,0,0,32,14,0,0,null,0.841764636,0
1/14/2015,GWB PIP,19427,1478,17455,494,19335,8,2,82,0.025428527,null,null,11.63,0,0,0,32,14,0,0,null,0.89849179,0
1/14/2015,GWB Upper,57504,9165,47087,1253,44284,4445,7964,811,0.021789789,null,null,11.63,0,0,0,32,14,0,0,null,0.818847385,0
1/14/2015,Goethals,35161,4333,29808,1020,30869,1572,2362,358,0.029009414,null,null,11.63,0,0,0,32,14,0,0,null,0.847757459,0
1/14/2015,Holland,41224,6398,33959,867,39146,1505,16,557,0.021031438,null,null,11.63,0,0,0,32,14,0,0,null,0.823767708,0
1/14/2015,Lincoln,50043,5510,43332,1201,39763,2879,566,6835,0.023999361,null,null,11.63,0,0,0,32,14,0,0,null,0.86589533,0
1/14/2015,Outerbridge,35010,3193,30526,1291,32137,1161,1606,106,0.036875179,null,null,11.63,0,0,0,32,14,0,0,null,0.871922308,0
1/15/2015,Bayonne,8217,654,7390,173,7491,317,360,49,0.021053913,null,null,8.95,0,0,0,36,25,0,0,null,0.899354996,0
1/15/2015,GWB Lower,50171,6460,42273,1438,49795,108,22,246,0.028661976,null,null,8.95,0,0,0,36,25,0,0,null,0.842578382,0
1/15/2015,GWB PIP,19757,1473,17790,494,19687,12,0,58,0.025003796,null,null,8.95,0,0,0,36,25,0,0,null,0.90044035,0
1/15/2015,GWB Upper,61075,10266,49518,1291,47872,4450,7923,830,0.021137945,null,null,8.95,0,0,0,36,25,0,0,null,0.810773639,0
1/15/2015,Goethals,36502,4598,30901,1003,32172,1633,2309,388,0.027477946,null,null,8.95,0,0,0,36,25,0,0,null,0.846556353,0
1/15/2015,Holland,42450,6528,35004,918,40334,1534,14,568,0.021625442,null,null,8.95,0,0,0,36,25,0,0,null,0.82459364,0
1/15/2015,Lincoln,51620,5834,44699,1087,41320,2923,546,6831,0.02105773,null,null,8.95,0,0,0,36,25,0,0,null,0.86592406,0
1/15/2015,Outerbridge,35822,3336,31161,1325,32893,1223,1602,104,0.036988443,null,null,8.95,0,0,0,36,25,0,0,null,0.869884429,0
1/16/2015,Bayonne,8524,838,7503,183,7813,327,327,57,0.021468794,null,null,15.88,0,0,0,44,19,0,0,null,0.880220554,0
1/16/2015,GWB Lower,52882,8309,42938,1635,52479,121,16,266,0.030917893,null,null,15.88,0,0,0,44,19,0,0,null,0.811958701,0
1/16/2015,GWB PIP,19344,1827,17008,509,19267,16,0,61,0.026313069,null,null,15.88,0,0,0,44,19,0,0,null,0.879239041,0
1/16/2015,GWB Upper,64144,12398,50390,1357,51976,4241,7083,844,0.021155525,null,null,15.88,0,0,0,44,19,0,0,null,0.785576204,0
1/16/2015,Goethals,38203,5734,31389,1080,34040,1532,2250,381,0.028270031,null,null,15.88,0,0,0,44,19,0,0,null,0.821637044,0
